license_number,license_key,activation_code,customer_name,license_type,issue_date,expiry_date,validity,status
1,4BBB-EA4B-57FF-7C29,6DFD-2B33-2DA2-91C4-2DA2-91C5-2DA2-91C6,Cliente0001,standard,2025-11-02,PERMANENTE,LIFETIME,active
2,6D95-ED53-C3CC-3A94,B483-9A76-44F6-E967-44F6-E968-44F6-E969,Cliente0002,standard,2025-11-02,PERMANENTE,LIFETIME,active
3,624A-3ACC-FBD8-5F2A,6751-E409-518E-655A-518E-655B-518E-655C,Cliente0003,standard,2025-11-02,PERMANENTE,LIFETIME,active
4,A35A-7245-866F-DCCB,7031-9152-7663-BBC3-7663-BBC4-7663-BBC5,Cliente0004,standard,2025-11-02,PERMANENTE,LIFETIME,active
5,320D-4058-DC6D-89CE,E3ED-FB64-61AD-6815-61AD-6816-61AD-6817,Cliente0005,standard,2025-11-02,PERMANENTE,LIFETIME,active
6,13BF-505C-99D1-0490,98AA-AD3D-AE00-550E-AE00-550F-AE00-5510,Cliente0006,standard,2025-11-02,PERMANENTE,LIFETIME,active
7,3237-7085-1147-280A,890E-FCCB-AAEE-965C-AAEE-965D-AAEE-965E,Cliente0007,standard,2025-11-02,PERMANENTE,LIFETIME,active
8,D9B8-914D-34BB-D16F,A124-94B5-C5B7-2B86-C5B7-2B87-C5B7-2B88,Cliente0008,standard,2025-11-02,PERMANENTE,LIFETIME,active
9,1E14-B43C-BA98-4144,9FBE-1C08-9781-9D39-9781-9D3A-9781-9D3B,Cliente0009,standard,2025-11-02,PERMANENTE,LIFETIME,active
10,3724-2862-A9B0-39A6,4E68-8271-1B78-D0C2-1B78-D0C3-1B78-D0C4,Cliente0010,standard,2025-11-02,PERMANENTE,LIFETIME,active
11,2922-CCE8-12FB-C131,1F98-D2F5-12B3-31C6-12B3-31C7-12B3-31C8,Cliente0011,standard,2025-11-02,PERMANENTE,LIFETIME,active
12,73EE-464C-94EB-5393,58A7-499D-6D90-7D6E-6D90-7D6F-6D90-7D70,Cliente0012,standard,2025-11-02,PERMANENTE,LIFETIME,active
13,4FDD-1DEB-5E08-86DB,136F-5414-8159-D6C5-8159-D6C6-8159-D6C7,Cliente0013,standard,2025-11-02,PERMANENTE,LIFETIME,active
14,C954-3720-598A-C1C3,7CD7-B922-17CE-DD93-17CE-DD94-17CE-DD95,Cliente0014,standard,2025-11-02,PERMANENTE,LIFETIME,active
15,F26F-FC39-C3E2-51AE,AB4F-9622-1542-5A93-1542-5A94-1542-5A95,Cliente0015,standard,2025-11-02,PERMANENTE,LIFETIME,active
16,853C-FB6B-88EA-CF14,3CCF-54E7-D6B9-F1F8-D6B9-F1F9-D6B9-F1FA,Cliente0016,standard,2025-11-02,PERMANENTE,LIFETIME,active
17,52A9-932B-CDD6-C0F3,3FD0-CEEE-39EA-ACDF-39EA-ACE0-39EA-ACE1,Cliente0017,standard,2025-11-02,PERMANENTE,LIFETIME,active
18,52E0-310A-260B-F6EE,E4CE-4B91-7E97-BDE2-7E97-BDE3-7E97-BDE4,Cliente0018,standard,2025-11-02,PERMANENTE,LIFETIME,active
19,10C6-466F-9312-BC2B,33D9-2DC8-AEFE-E6F9-AEFE-E6FA-AEFE-E6FB,Cliente0019,standard,2025-11-02,PERMANENTE,LIFETIME,active
20,F041-3009-663E-C87C,CF12-0EC0-B153-E6F1-B153-E6F2-B153-E6F3,Cliente0020,standard,2025-11-02,PERMANENTE,LIFETIME,active
21,7625-B150-9C96-6AE5,12FE-4668-72C7-1399-72C7-139A-72C7-139B,Cliente0021,standard,2025-11-02,PERMANENTE,LIFETIME,active
22,EFF5-1167-07B3-A5FB,A9E0-D94F-E5FC-0360-E5FC-0361-E5FC-0362,Cliente0022,standard,2025-11-02,PERMANENTE,LIFETIME,active
23,2B8D-7C72-3455-2C77,616D-B6C7-8F24-8FD8-8F24-8FD9-8F24-8FDA,Cliente0023,standard,2025-11-02,PERMANENTE,LIFETIME,active
24,F5A9-08DB-F0C2-27A7,0319-A50F-664E-4720-664E-4721-664E-4722,Cliente0024,standard,2025-11-02,PERMANENTE,LIFETIME,active
25,0EAC-1CC8-1149-DBAF,9E31-D384-646C-4435-646C-4436-646C-4437,Cliente0025,standard,2025-11-02,PERMANENTE,LIFETIME,active
26,5647-F584-1166-1CBA,606E-8A42-6E3F-D2B3-6E3F-D2B4-6E3F-D2B5,Cliente0026,standard,2025-11-02,PERMANENTE,LIFETIME,active
27,5B7D-BB5F-F669-66C6,7990-B8E1-ABA7-D532-ABA7-D533-ABA7-D534,Cliente0027,standard,2025-11-02,PERMANENTE,LIFETIME,active
28,45A6-ECC3-23C0-C648,3903-FDBB-5983-B54C-5983-B54D-5983-B54E,Cliente0028,standard,2025-11-02,PERMANENTE,LIFETIME,active
29,8918-FA3B-3A5A-4F13,1E7C-9E5E-EE10-6A4F-EE10-6A50-EE10-6A51,Cliente0029,standard,2025-11-02,PERMANENTE,LIFETIME,active
30,BF36-6726-E946-BDAB,CEE4-0977-AB65-3888-AB65-3889-AB65-388A,Cliente0030,standard,2025-11-02,PERMANENTE,LIFETIME,active
31,38D4-FE6A-B603-552B,6F8D-057E-612D-B56F-612D-B570-612D-B571,Cliente0031,standard,2025-11-02,PERMANENTE,LIFETIME,active
32,626F-A352-CA4D-00A5,C61C-E391-89B9-55E2-89B9-55E3-89B9-55E4,Cliente0032,standard,2025-11-02,PERMANENTE,LIFETIME,active
33,130A-993B-AA07-B213,9FD4-FCDD-9A74-98AE-9A74-98AF-9A74-98B0,Cliente0033,standard,2025-11-02,PERMANENTE,LIFETIME,active
34,8301-1F52-2648-EBD9,E5CE-E4C2-9FAB-7D33-9FAB-7D34-9FAB-7D35,Cliente0034,standard,2025-11-02,PERMANENTE,LIFETIME,active
35,FAAE-8584-9F55-9179,51BE-13C9-8980-8D1A-8980-8D1B-8980-8D1C,Cliente0035,standard,2025-11-02,PERMANENTE,LIFETIME,active
36,AB76-65F9-33C2-E475,4C2D-24DA-D1D1-C04B-D1D1-C04C-D1D1-C04D,Cliente0036,standard,2025-11-02,PERMANENTE,LIFETIME,active
37,FE9A-9BF0-7043-7BB1,4BD2-65F0-C61F-2421-C61F-2422-C61F-2423,Cliente0037,standard,2025-11-02,PERMANENTE,LIFETIME,active
38,E749-A0DC-ACBE-BDF5,3ADA-3D0D-9621-DEDE-9621-DEDF-9621-DEE0,Cliente0038,standard,2025-11-02,PERMANENTE,LIFETIME,active
39,F0B7-7001-7A4E-FDBE,9DFB-FB79-5D7B-6ACA-5D7B-6ACB-5D7B-6ACC,Cliente0039,standard,2025-11-02,PERMANENTE,LIFETIME,active
40,D1EF-E40C-5591-66E8,56F2-BE09-354A-7F5A-354A-7F5B-354A-7F5C,Cliente0040,standard,2025-11-02,PERMANENTE,LIFETIME,active
41,FF00-B32F-C1DC-4AE3,0D75-FD21-BC35-A172-BC35-A173-BC35-A174,Cliente0041,standard,2025-11-02,PERMANENTE,LIFETIME,active
42,4FA0-1CE6-BC10-5D68,92FE-D627-F2D9-9B38-F2D9-9B39-F2D9-9B3A,Cliente0042,standard,2025-11-02,PERMANENTE,LIFETIME,active
43,FA7D-5BC3-58DF-4327,A6EE-5B76-84B9-CA67-84B9-CA68-84B9-CA69,Cliente0043,standard,2025-11-02,PERMANENTE,LIFETIME,active
44,36CB-B490-E098-7E53,C0EC-C4F7-DE85-6408-DE85-6409-DE85-640A,Cliente0044,standard,2025-11-02,PERMANENTE,LIFETIME,active
45,B76E-BB32-63BF-BDB4,4688-3F2A-1790-249B-1790-249C-1790-249D,Cliente0045,standard,2025-11-02,PERMANENTE,LIFETIME,active
46,EF64-858F-DAA0-D47D,EAD3-6249-453F-AB9A-453F-AB9B-453F-AB9C,Cliente0046,standard,2025-11-02,PERMANENTE,LIFETIME,active
47,401B-3994-5E13-2C1E,06CF-1E99-E0B2-F1EA-E0B2-F1EB-E0B2-F1EC,Cliente0047,standard,2025-11-02,PERMANENTE,LIFETIME,active
